,path,conversion,path_count,conversion_rate,path_list
0,Facebook,2475,37766,0.06553513742519727,['Facebook']
1,Facebook>Instagram,286,4177,0.06847019391908069,"['Facebook', 'Instagram']"
2,Facebook>Instagram>Facebook,138,2446,0.056418642681929684,"['Facebook', 'Instagram', 'Facebook']"
3,Facebook>Instagram>Facebook>Instagram,57,574,0.09930313588850175,"['Facebook', 'Instagram', 'Facebook', 'Instagram']"
4,Facebook>Instagram>Facebook>Instagram>Facebook,41,557,0.07360861759425494,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
5,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram,12,155,0.07741935483870968,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
6,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,17,212,0.08018867924528301,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
7,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram,16,70,0.22857142857142856,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
8,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,12,91,0.13186813186813187,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
9,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram,7,35,0.2,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
10,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,2,59,0.03389830508474576,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
11,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram,2,22,0.09090909090909091,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
12,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,1,26,0.038461538461538464,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
13,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram,2,8,0.25,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
14,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,1,10,0.1,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
15,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram,1,5,0.2,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
16,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook,2,11,0.18181818181818182,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook']"
17,Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram>Facebook>Instagram,1,5,0.2,"['Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram', 'Facebook', 'Instagram']"
