,step,source,target,value
0,0,1,21,
1,0,2,21,
2,0,3,21,
3,0,4,21,
4,0,5,21,
5,0,6,21,2191
6,0,7,21,1824
7,0,8,21,654
8,0,9,21,780
9,0,10,21,843
10,0,11,21,1401
11,0,12,21,1026
12,0,13,21,210
13,0,14,21,189
14,0,15,21,131
15,0,16,21,250
16,0,17,21,240
17,0,18,21,0
18,0,19,21,20
19,0,20,21,56
0,1,1,6,0
1,1,1,7,11757
2,1,1,8,1377
3,1,1,9,2064
4,1,1,10,2409
5,1,2,6,15699
6,1,2,7,0
7,1,2,8,573
8,1,2,9,879
9,1,2,10,1110
10,1,3,6,1206
11,1,3,7,507
12,1,3,8,0
13,1,3,9,375
14,1,3,10,1830
15,1,4,6,1461
16,1,4,7,393
17,1,4,8,327
18,1,4,9,0
19,1,4,10,891
20,1,5,6,2946
21,1,5,7,1293
22,1,5,8,3057
23,1,5,9,1884
24,1,5,10,0
25,2,6,11,0
26,2,6,12,6837
27,2,6,13,264
28,2,6,14,519
29,2,6,15,660
30,2,7,11,7314
31,2,7,12,0
32,2,7,13,192
33,2,7,14,192
34,2,7,15,123
35,2,8,11,360
36,2,8,12,84
37,2,8,13,0
38,2,8,14,48
39,2,8,15,783
40,2,9,11,549
41,2,9,12,318
42,2,9,13,24
43,2,9,14,0
44,2,9,15,369
45,2,10,11,900
46,2,10,12,327
47,2,10,13,624
48,2,10,14,447
49,2,10,15,0
50,3,11,16,0
51,3,11,17,3285
52,3,11,18,0
53,3,11,19,276
54,3,11,20,198
55,3,12,16,4665
56,3,12,17,0
57,3,12,18,0
58,3,12,19,75
59,3,12,20,57
60,3,13,16,84
61,3,13,17,33
62,3,13,18,0
63,3,13,19,15
64,3,13,20,135
65,3,14,16,207
66,3,14,17,15
67,3,14,18,0
68,3,14,19,0
69,3,14,20,69
70,3,15,16,282
71,3,15,17,69
72,3,15,18,0
73,3,15,19,168
74,3,15,20,0
